age,fare,embarked,cabin,pclass,sex,sibsp,parch,ticket,survival
19,7.8958,S,missing,3,male,0,0,349205,0
24,27,S,missing,2,female,2,1,243847,1
26,30,C,C148,1,male,0,0,111369,1
29,10.5,S,missing,2,male,0,0,W./C. 14263,0
30,12.7375,C,missing,2,male,0,0,C.A. 34644,1
39,108.9,C,C105,1,female,0,0,PC 17758,1
27,26,S,missing,2,male,1,0,228414,0
28,7.8958,S,missing,3,male,0,0,349217,0
17,7.7333,Q,missing,3,female,0,0,AQ/3. 30631,0
28,7.8958,S,missing,3,male,0,0,349201,0
34,21,S,missing,2,male,1,0,28664,0
65,26.55,S,E38,1,male,0,0,13509,0
26,7.8542,S,missing,3,female,0,0,347470,1
40,16,S,missing,2,male,0,0,239059,0
36.5,26,S,F2,2,male,0,2,230080,0
21,7.75,Q,missing,3,female,0,0,364846,0
18,7.75,S,missing,3,male,0,0,347090,0
28,13,S,missing,2,male,0,0,248740,0
42,26.55,S,missing,1,male,0,0,17475,0
21,13,S,missing,2,male,0,0,236854,0
28,14.4583,C,missing,3,female,1,0,2689,0
22,7.225,C,missing,3,male,0,0,2658,1
27,13.8583,C,missing,2,female,1,0,SC/PARIS 2149,1
28,7.75,Q,missing,3,female,0,0,370375,1
41,7.125,S,missing,3,male,0,0,SOTON/O2 3101272,0
55,16,S,missing,2,female,0,0,248706,1
24,79.2,C,B86,1,male,0,0,PC 17593,0
30,6.95,Q,missing,3,female,0,0,382650,1
32.5,211.5,C,C132,1,male,0,0,113503,0
22,7.7958,S,missing,3,male,0,0,350045,0
9,46.9,S,missing,3,male,5,2,CA 2144,0
11,46.9,S,missing,3,male,5,2,CA 2144,0
24,14.5,S,missing,2,female,0,2,250649,1
22,7.5208,S,missing,3,male,0,0,350060,0
18,6.4958,S,missing,3,male,1,0,3101267,0
28,7.8958,S,missing,3,female,0,0,349245,0
20,7.05,S,missing,3,male,0,0,SOTON/O.Q. 3101307,0
52,78.2667,C,D20,1,female,1,0,36947,1
50,106.425,C,C86,1,male,1,0,PC 17761,0
28,25.4667,S,missing,3,female,3,1,4133,0
25,17.8,S,missing,3,male,1,0,349237,0
17,16.1,S,missing,3,female,0,1,371362,1
30,13,S,missing,2,male,0,0,233478,0
28,52,S,A14,1,male,0,0,110465,0
31,52,S,B71,1,male,1,0,F.C. 12750,0
28,7.75,Q,missing,3,female,0,0,370370,1
35,8.05,S,missing,3,male,0,0,364512,0
26,13.775,S,missing,3,female,0,2,SOTON/O.Q. 3101315,0
29,211.3375,S,B5,1,female,0,0,24160,1
18,13,S,missing,2,female,0,2,250652,1
40,15.5,Q,missing,3,male,1,1,364849,0
24,27.7208,C,missing,2,female,1,0,SC/PARIS 2167,1
30,26,S,missing,2,male,1,1,250651,0
28,8.05,S,missing,3,female,0,0,342712,1
28,13.5,S,missing,2,male,0,0,218629,0
28,31.6833,S,missing,1,female,0,0,PC 17598,1
42,13,S,missing,2,male,0,0,211535,0
1,39.6875,S,missing,3,male,4,1,3101295,0
28,24.15,Q,missing,3,male,1,0,371110,0
28,0,S,missing,1,male,0,0,112052,0
28,14.4583,C,missing,3,male,0,0,2627,0
25,10.5,S,missing,2,male,0,0,C.A. 34050,0
27,7.925,S,missing,3,female,0,0,STON/O2. 3101283,1
23,83.1583,C,C54,1,female,0,1,11767,1
31,7.8542,S,missing,3,female,0,0,350407,0
32,22.525,S,missing,3,male,0,0,C 4001,0
26,26,S,missing,2,female,1,1,250651,0
31,113.275,C,D36,1,female,1,0,35273,1
28,7.7958,S,missing,3,male,0,0,350042,0
71,34.6542,C,A5,1,male,0,0,PC 17754,0
28,7.55,S,missing,3,female,0,0,W./C. 6609,0
55,59.4,C,missing,1,male,1,0,PC 17603,0
47,7,S,missing,3,female,1,0,363272,1
28,22.525,S,missing,3,male,0,0,C 4001,0
28,69.55,S,missing,3,male,8,2,CA. 2343,0
28,7.75,Q,missing,3,male,0,0,372622,0
2,21.075,S,missing,3,male,3,1,349909,0
19,16.1,S,missing,3,female,1,0,376566,0
28,8.05,S,missing,3,male,0,0,A/S 2816,0
44,26,S,missing,2,female,1,0,244252,0
33,26.55,S,missing,1,male,0,0,113790,0
59,7.25,S,missing,3,male,0,0,364500,0
25,91.0792,C,B49,1,male,1,0,11967,1
20,9.8458,S,missing,3,male,0,0,7534,0
62,80,missing,B28,1,female,0,0,113572,1
26,10.5,S,missing,2,male,0,0,31028,0
21,7.7958,S,missing,3,male,0,0,350053,1
28,7.225,C,missing,3,male,0,0,2664,0
23,7.8958,S,missing,3,male,0,0,349204,0
30,151.55,S,C22 C26,1,male,1,2,113781,0
28,89.1042,C,C92,1,female,1,0,17453,1
37,7.925,S,missing,3,male,2,0,3101276,0
36,13,S,missing,2,female,0,0,27849,1
48,52,S,C126,1,male,1,0,19996,1
18,8.6625,S,missing,3,male,0,0,315091,0
28,8.1125,S,missing,3,female,0,0,65305,0
28,8.05,S,missing,3,male,0,0,A/5 2817,0
63,9.5875,S,missing,3,female,0,0,4134,1
27,7.8542,S,missing,3,male,0,0,350408,0
33,7.775,S,missing,3,male,0,0,347062,0
24,16.1,S,missing,3,male,1,0,376566,0
18,108.9,C,C65,1,male,1,0,PC 17758,0
5,31.3875,S,missing,3,female,4,2,347077,1
23,93.5,S,B24,1,male,0,0,12749,0
29,66.6,S,C2,1,male,1,0,113776,0
28,19.9667,S,missing,3,male,1,0,65303,0
29,26,S,missing,2,female,1,0,SC/AH 29037,0
28,21.6792,C,missing,3,male,2,0,2662,0
28,15.85,S,missing,3,male,1,0,STON/O2. 3101279,0
1,39,S,F4,2,male,2,1,230136,1
21,11.5,S,missing,2,male,1,0,28133,0
28,22.3583,C,missing,3,female,0,2,2668,1
35,20.25,S,missing,3,female,1,1,C.A. 2673,1
28,69.55,S,missing,3,female,1,9,CA. 2343,0
28,35.5,S,A6,1,male,0,0,113788,1
42,13,S,missing,2,male,0,0,237798,1
47,61.175,S,E31,1,female,1,0,W.E.P. 5734,1
19,7.8958,S,missing,3,male,0,0,349212,0
20,15.7417,C,missing,3,male,1,1,2653,1
26,29,S,missing,2,male,1,1,248738,1
28,227.525,C,missing,1,male,0,0,PC 17757,0
17,14.4583,C,missing,3,female,0,0,2627,0
28,263,S,C23 C25 C27,1,female,3,2,19950,1
25,7.7958,S,missing,3,male,0,0,350033,1
32,7.775,S,missing,3,male,0,0,347079,1
41,13,S,missing,2,male,0,0,237393,0
31,21,S,missing,2,female,0,0,F.C.C. 13528,1
16,34.375,S,missing,3,male,1,3,W./C. 6608,0
37,53.1,S,C123,1,male,1,0,113803,0
34,26.55,S,missing,1,male,0,0,113794,1
28,7.75,Q,missing,3,male,0,0,366713,0
45,83.475,S,C83,1,male,1,0,36973,0
36,7.4958,S,missing,3,male,0,0,349210,0
28,8.05,S,missing,3,male,0,0,374746,0
24,10.5,S,missing,2,male,0,0,28034,1
45,14.1083,S,missing,3,female,1,0,350026,1
49,0,S,missing,3,male,0,0,LINE,0
19,6.75,Q,missing,3,male,0,0,365222,0
19,30,S,B42,1,female,0,0,112053,1
14,11.2417,C,missing,3,female,1,0,2651,1
39,0,S,A36,1,male,0,0,112050,0
41,19.5,S,missing,2,female,0,1,250644,1
28,6.8583,Q,missing,3,male,0,0,394140,0
26,7.775,S,missing,3,male,0,0,347075,0
25,7.775,S,missing,3,male,1,0,347083,1
45,30,S,missing,2,female,0,2,237789,1
28,7.75,Q,missing,3,male,1,0,367227,0
28,26.55,S,C52,1,male,0,0,110564,1
38,13,S,missing,2,female,0,0,237671,0
29,26,S,missing,2,female,1,0,2926,1
16,18,S,missing,3,male,2,0,345764,0
42,13,S,missing,2,male,0,0,244310,0
20,26,S,missing,2,female,1,0,236853,1
45,6.975,S,missing,3,male,0,0,347061,0
24,83.1583,C,C54,1,female,0,0,11767,1
41,15.0458,C,missing,2,male,0,0,237734,0
33,26,S,missing,2,female,0,2,26360,1
34,13,S,D56,2,male,0,0,248698,1
60,26.55,S,missing,1,male,0,0,113800,0
18,9.35,S,missing,3,female,0,1,392091,1
25,151.55,S,C22 C26,1,female,1,2,113781,0
54,55.4417,C,C116,1,male,1,0,11778,1
28,22.3583,C,missing,3,male,1,1,2668,1
27,8.6625,S,missing,3,male,0,0,315083,0
36,24.15,S,missing,3,male,1,1,345773,0
36,120,S,B96 B98,1,male,1,2,113760,1
34,32.5,S,missing,2,female,1,1,28220,1
28,12.65,S,missing,2,female,0,0,240929,1
28,15.5,Q,missing,3,male,1,0,370371,0
28,0,S,missing,2,male,0,0,239855,0
22,21,S,missing,2,female,0,0,F.C.C. 13534,0
28,15.5,Q,missing,3,female,0,0,36568,1
29,7.925,S,missing,3,female,0,0,3101297,0
24,7.7958,S,missing,3,male,0,0,350035,0
28,8.05,S,missing,3,male,0,0,359306,0
32,7.75,Q,missing,3,male,0,0,370376,0
23.5,7.2292,C,missing,3,male,0,0,2693,0
39,13,S,missing,2,male,0,0,248723,0
19,26,S,missing,2,female,0,0,250655,1
24,7.25,Q,missing,3,male,0,0,371109,0
28,23.45,S,missing,3,female,1,2,W./C. 6607,0
26,78.85,S,missing,1,female,0,0,19877,1
21,7.225,C,missing,3,male,0,0,2692,0
9,15.2458,C,missing,3,female,1,1,2678,0
24,18.75,S,missing,2,female,2,3,29106,1
28,7.925,S,missing,3,male,2,0,3101277,0
28,24.15,Q,missing,3,male,0,0,371110,0
33,7.8958,C,missing,3,male,0,0,349241,0
61,33.5,S,B19,1,male,0,0,111240,0
21,7.8542,S,missing,3,male,0,0,350410,0
28,7.8958,S,missing,3,male,0,0,349234,0
28,56.4958,S,missing,3,male,0,0,1601,1
50,10.5,S,missing,2,female,0,0,F.C.C. 13531,1
35,52,S,missing,1,female,1,0,113789,1
18,17.8,S,missing,3,female,1,0,349237,0
45,14.4542,C,missing,3,female,0,1,2691,0
32,26,S,missing,2,male,1,0,2908,1
28,27.7208,C,missing,1,female,0,0,17770,1
28,69.55,S,missing,3,female,8,2,CA. 2343,0
28,8.05,S,missing,3,male,0,0,A.5. 3236,0
17,47.1,S,missing,1,male,0,0,113059,0
57,10.5,S,E77,2,female,0,0,S.O./P.P. 3,0
18,11.5,S,missing,2,male,0,0,231945,0
54,23,S,missing,2,female,1,3,29105,1
11,18.7875,C,missing,3,male,0,0,2699,0
6,12.475,S,E121,3,male,0,1,392096,1
28,7.75,Q,missing,3,male,0,0,368703,0
21,8.6625,S,missing,3,male,0,0,315097,0
31,20.525,S,missing,3,female,1,1,363291,1
36,12.1833,S,missing,3,female,0,2,350405,0
1,46.9,S,missing,3,male,5,2,CA 2144,0
24,65,S,missing,2,female,1,2,220845,1
26,7.775,S,missing,3,male,0,0,347068,0
35,10.5,S,missing,2,male,0,0,28206,0
6,21.075,S,missing,3,male,3,1,349909,0
21,8.05,S,missing,3,male,0,0,A/4 45380,0
18,7.775,S,missing,3,male,0,0,349912,0
42,7.65,S,F G63,3,male,0,0,348121,0
28,8.05,S,missing,3,male,0,0,359309,0
28,7.75,Q,missing,3,female,0,0,335677,1
28,25.7417,C,missing,1,male,0,0,F.C. 12998,1
29,9.5,S,missing,3,male,0,0,345779,1
28,7.8792,Q,missing,3,female,0,0,330931,1
9,20.525,S,missing,3,male,0,2,363291,1
29,26,S,missing,2,female,1,0,228414,1
25,7.2292,C,F E57,3,male,0,0,2654,1
27,13,S,missing,2,male,0,0,220367,0
74,7.775,S,missing,3,male,0,0,347060,0
22,31.5,S,missing,2,male,2,0,C.A. 31029,0
32,8.05,S,missing,3,male,0,0,STON/OQ. 369943,0
13,7.2292,C,missing,3,female,0,0,2687,1
27,10.5,S,E101,2,female,0,0,34218,1
45,7.225,C,missing,3,female,0,0,2696,1
28,12.875,S,missing,2,male,0,0,SC/PARIS 2159,0
22,7.7958,S,missing,3,male,0,0,350052,0
35,12.35,Q,missing,2,male,0,0,233734,0
28,7.75,Q,missing,3,female,0,0,364859,0
43,55.4417,C,C116,1,female,1,0,11778,1
22,8.6625,S,missing,3,female,2,0,315152,0
30,8.05,S,missing,3,male,0,0,SOTON/OQ 392090,0
29,8.05,S,missing,3,male,0,0,343276,0
43,46.9,S,missing,3,female,1,6,CA 2144,0
29,7.775,S,missing,3,male,0,0,347067,0
28,7.2292,C,missing,3,female,0,0,2626,1
63,26,S,missing,2,male,1,0,24065,0
32.5,13,S,E101,2,female,0,0,27267,1
28,42.4,S,missing,1,male,0,0,113796,0
44,57.9792,C,B18,1,female,0,1,111361,1
27,7.8958,S,missing,3,male,0,0,349219,0
18,6.75,Q,missing,3,female,0,0,365226,0
22,7.775,S,missing,3,male,0,0,347065,0
15,14.4542,C,missing,3,female,1,0,2659,1
11,31.275,S,missing,3,female,4,2,347082,0
20,7.925,S,missing,3,male,0,0,SOTON/O2 3101284,1
35,26.55,C,missing,1,male,0,0,111426,1
28,221.7792,S,C95,1,male,0,0,PC 17483,0
24,7.75,Q,missing,3,female,0,0,382653,1
25,7.05,S,missing,3,male,0,0,SOTON/O.Q. 3101312,0
20,8.6625,S,missing,3,female,0,0,315096,0
36,26,S,missing,2,female,1,0,226875,1
25,41.5792,C,missing,2,male,1,2,SC/Paris 2123,0
32,13.5,S,missing,2,male,0,0,237216,0
28,8.6625,S,missing,3,male,0,0,315037,0
53,81.8583,S,A34,1,male,1,1,33638,1
18,34.375,S,missing,3,male,2,2,W./C. 6608,0
30,10.5,S,missing,2,male,0,0,W/C 14208,0
60,76.2917,C,D15,1,female,0,0,11813,1
26,7.925,S,missing,3,female,0,0,STON/O2. 3101282,1
2,29.125,Q,missing,3,male,4,1,382652,0
45,7.75,S,missing,3,female,0,0,347073,0
37,7.75,Q,missing,3,female,0,0,368364,0
31,18,S,missing,3,female,1,0,345763,0
28,8.05,S,missing,3,male,0,0,32302,0
33,20.575,S,missing,3,female,1,2,C.A. 2315,1
17,7.0542,S,missing,3,male,1,0,350048,0
27,26,S,missing,2,male,0,0,244358,0
28,6.4375,C,missing,3,male,0,0,2681,0
28,55,S,E33,1,female,0,1,113505,1
2,26,S,F2,2,male,1,1,230080,1
39,26,S,missing,2,male,0,0,250655,0
4,39,S,F4,2,female,2,1,230136,1
65,61.9792,C,B30,1,male,0,1,113509,0
49,76.7292,C,D33,1,female,1,0,PC 17572,1
28,7.2292,C,missing,3,male,0,0,2652,0
26,7.8792,Q,missing,3,male,0,0,330910,0
54,14,S,missing,2,male,0,0,29011,0
38.5,7.25,S,missing,3,male,0,0,SOTON/O.Q. 3101262,0
28,51.8625,S,D21,1,female,1,0,17464,1
28,7.75,Q,missing,3,male,0,0,365235,0
38,80,missing,B28,1,female,0,0,113572,1
32,8.05,S,E10,3,male,0,0,SOTON/O.Q. 392078,1
28,8.05,S,missing,3,male,0,0,374910,0
35,211.5,C,C130,1,female,0,0,113503,1
29,30,S,D6,1,male,0,0,113501,0
53,28.5,C,C51,1,male,0,0,113780,1
4,11.1333,S,missing,3,male,1,1,347742,1
19,53.1,S,D30,1,male,1,0,113773,0
52,79.65,S,E67,1,male,1,1,110413,0
22,55,S,E33,1,female,0,1,113505,1
28,7.8958,S,missing,3,male,0,0,349238,0
47,52,S,C110,1,male,0,0,110465,0
23,7.7958,S,missing,3,male,0,0,350054,1
58,26.55,S,C103,1,female,0,0,113783,1
11.5,14.5,S,missing,3,male,1,1,A/5. 851,0
61,6.2375,S,missing,3,male,0,0,345364,0
28,7.75,Q,missing,3,female,0,0,382649,0
12,39,S,F4,2,female,2,1,230136,1
28,7.3125,S,missing,3,male,0,0,Fa 265302,0
24,49.5042,C,C90,1,female,0,0,PC 17482,1
44,13,S,missing,2,male,0,0,248746,0
21,6.4958,S,missing,3,male,1,0,3101266,0
28,7.8958,S,missing,3,male,0,0,349220,0
27,7.8958,S,missing,3,male,0,0,349229,0
18.5,7.2292,C,missing,3,male,0,0,2682,0
28,79.2,C,missing,1,female,0,0,PC 17585,1
22,151.55,S,missing,1,female,0,0,113781,1
9,34.375,S,missing,3,female,2,2,W./C. 6608,0
23,15.0458,C,missing,2,male,0,0,SC/PARIS 2133,0
26,56.4958,S,missing,3,male,0,0,1601,1
28,21.6792,C,missing,3,male,2,0,2662,0
33,20.525,S,missing,3,male,1,1,363291,0
26,7.8958,S,missing,3,male,0,0,349248,0
28,69.55,S,missing,3,male,8,2,CA. 2343,0
6,31.275,S,missing,3,female,4,2,347082,0
37,29.7,C,C118,1,male,0,1,PC 17596,0
28,15.2458,C,missing,3,male,1,1,2661,1
28,21.6792,C,missing,3,male,2,0,2662,0
45,27.9,S,missing,3,female,1,4,347088,0
70.5,7.75,Q,missing,3,male,0,0,370369,0
17,8.6625,S,missing,3,male,0,0,315086,0
28,7.8958,S,missing,3,male,0,0,349221,0
28,7.8958,S,missing,3,male,0,0,349216,0
38,0,S,missing,1,male,0,0,19972,0
15,8.0292,Q,missing,3,female,0,0,330923,1
27,8.6625,S,missing,3,male,0,0,315098,1
30,86.5,S,B77,1,female,0,0,110152,1
29,221.7792,S,C97,1,female,0,0,PC 17483,1
19,26.2833,S,D47,1,female,0,2,11752,1
28,7.75,Q,missing,3,male,0,0,368573,0
36,15.9,S,missing,3,female,0,2,C.A. 37671,1
24,263,S,C23 C25 C27,1,female,3,2,19950,1
28,30.6958,C,missing,1,male,0,0,PC 17600,0
32,7.925,S,missing,3,male,0,0,STON/O 2. 3101293,0
33,90,Q,C78,1,female,1,0,19928,1
45,134.5,C,E34,1,male,1,1,16966,1
44,27.7208,C,B4,1,female,0,0,PC 17610,1
5,27.75,S,missing,2,female,1,2,C.A. 34651,1
23,10.5,S,missing,2,male,0,0,244278,0
61,32.3208,S,D50,1,male,0,0,36963,0
28,12.35,Q,E101,2,female,0,0,226593,1
28,133.65,S,missing,1,female,1,0,PC 17611,1
14.5,14.4542,C,missing,3,female,1,0,2665,0
28,14.4542,C,missing,3,female,1,0,2660,0
20,4.0125,C,missing,3,male,0,0,2648,0
10,29.125,Q,missing,3,male,4,1,382652,0
28,7.75,Q,missing,3,female,0,0,14313,1
28,25.4667,S,missing,3,female,3,1,4133,0
25,26,C,missing,1,male,0,0,13905,0
24,8.6625,S,missing,3,male,0,0,315092,0
35,83.475,S,C83,1,female,1,0,36973,1
44,8.05,S,missing,3,male,0,0,363592,0
21,8.6625,S,missing,3,female,0,0,315087,0
28,19.9667,S,missing,3,male,1,0,65304,0
26,7.775,S,missing,3,male,0,0,347070,1
26,13.5,S,missing,2,female,0,0,220844,1
21,7.8958,S,missing,3,male,0,0,349211,0
58,153.4625,S,C125,1,female,0,1,PC 17582,1
28,14.4,S,missing,3,female,1,1,347080,0
28,7.7875,Q,missing,3,female,0,0,330932,1
30,24,C,missing,2,male,1,0,P/PP 3381,0
39,211.3375,S,missing,1,female,0,0,24160,1
50,13,S,missing,2,male,0,0,250643,0
18,7.2292,C,missing,3,female,0,0,2657,1
28,15.5,Q,missing,3,female,1,0,367230,1
39,110.8833,C,C68,1,female,1,1,17421,1
4,81.8583,S,A34,1,male,0,2,33638,1
1,16.7,S,G6,3,female,1,1,PP 9549,1
24,7.775,S,missing,3,male,0,0,349911,0
63,221.7792,S,C55 C57,1,female,1,0,PC 17483,0
50,26,S,missing,2,male,1,0,SC/AH 3085,0
21,73.5,S,missing,2,male,2,0,S.O.C. 14879,0
40,134.5,C,E34,1,female,1,1,16966,1
21,34.375,S,missing,3,female,2,2,W./C. 6608,0
50,14.5,S,missing,3,male,1,0,A/5. 3337,0
30,164.8667,S,C7,1,female,0,0,36928,1
16,39.6875,S,missing,3,male,4,1,3101295,0
21,77.2875,S,D26,1,male,0,1,35281,0
36,7.25,S,missing,3,male,0,0,A/5 21175,0
18,227.525,C,C62 C64,1,female,1,0,PC 17757,1
28,8.05,S,missing,3,female,0,0,A. 2. 39186,1
22,7.75,S,missing,3,female,0,0,347081,1
51,26.55,S,E17,1,male,0,0,113055,1
30,12.475,S,missing,3,female,0,0,364516,1
18,7.775,S,missing,3,female,0,0,347066,1
28,7.25,S,missing,3,male,0,0,A/4. 34244,0
9,3.1708,S,missing,3,male,0,1,C 17368,1
21,7.8,S,missing,3,male,0,0,A/4. 39886,0
65,7.75,Q,missing,3,male,0,0,336439,0
30,12.35,Q,missing,2,female,0,0,234818,1
30,57.75,C,C78,1,male,1,0,13236,1
28,69.55,S,missing,3,female,8,2,CA. 2343,0
44,16.1,S,missing,3,male,0,1,371362,0
66,10.5,S,missing,2,male,0,0,C.A. 24579,0
60,79.2,C,B41,1,male,1,1,13567,1
3,15.9,S,missing,3,male,1,1,C.A. 37671,1
28,7.7375,Q,missing,3,male,0,0,36865,0
48,106.425,C,C86,1,female,1,0,PC 17761,1
8,26.25,S,missing,2,female,0,2,C.A. 31921,1
22,59.4,C,missing,1,female,0,1,112378,1
42,227.525,C,missing,1,female,0,0,PC 17757,1
31,7.925,S,missing,3,male,0,0,STON/O 2. 3101288,1
25,13,S,missing,2,male,0,0,244361,0
25,30,S,missing,2,female,1,1,237789,1
21,11.5,S,missing,2,male,0,0,29107,0
54,51.8625,S,E46,1,male,0,0,17463,0
39,13.4167,C,missing,3,male,0,1,349256,1
37,26,S,missing,2,male,1,0,SC/AH 29037,0
28,7.55,S,missing,3,male,0,0,S.O./P.P. 251,0
48,36.75,S,missing,2,female,0,2,C.A. 33112,1
28,7.8958,C,missing,3,male,0,0,349254,0
28,26,S,missing,1,male,0,0,111163,1
22,7.25,S,missing,3,male,0,0,A/5 21174,0
50,28.7125,C,C49,1,female,0,0,PC 17595,0
30,13,S,missing,2,female,0,0,250648,1
28,26,S,missing,2,female,1,0,2003,1
32,7.925,S,missing,3,male,0,0,STON/O 2. 3101286,1
18,8.05,S,missing,3,male,0,0,A/5 3540,1
17,7.2292,C,missing,3,male,1,1,2690,0
28,25.4667,S,missing,3,male,3,1,4133,0
28,7.7292,Q,missing,3,male,0,0,367655,0
21,7.925,S,missing,3,male,0,0,STON/O 2. 3101280,0
43,6.45,S,missing,3,male,0,0,C 7075,0
28,56.4958,S,missing,3,male,0,0,1601,0
28,7.775,S,missing,3,male,0,0,312993,0
31,18,S,missing,3,male,3,0,345763,0
28,15.5,Q,missing,3,female,1,0,370365,1
39,24.15,S,missing,3,male,0,0,A/4 48871,0
43,7.8958,S,missing,3,male,0,0,349226,0
28,24,C,missing,2,female,1,0,P/PP 3381,1
28,82.1708,C,missing,1,male,1,0,PC 17604,0
39,71.2833,C,C85,1,male,1,0,PC 17599,0
20,7.8542,S,missing,3,male,0,0,347466,0
21,9.825,S,missing,3,female,1,0,4137,0
0.8333,9.35,S,missing,3,male,0,1,392091,1
8,32.5,S,missing,2,male,0,2,28220,1
31,57,S,B20,1,male,1,0,17474,1
41,39.6875,S,missing,3,female,0,5,3101295,0
6,33,S,missing,2,female,0,1,248727,1
24,7.75,Q,missing,3,female,0,0,368702,0
7,29.125,Q,missing,3,male,4,1,382652,0
39,79.65,S,E67,1,female,1,1,110413,1
36,120,S,B96 B98,1,female,1,2,113760,1
35,57.75,C,C28,1,female,1,0,13236,1
34,6.4958,S,missing,3,male,0,0,3101264,0
47,9,S,missing,3,male,0,0,345765,0
28.5,7.2292,C,missing,3,male,0,0,2697,0
28,13,S,missing,2,female,0,0,237668,1
51,12.525,S,missing,2,male,0,0,S.O.P. 1166,0
6,134.5,C,E34,1,male,0,2,16966,1
28,16.1,S,missing,3,male,1,0,386525,0
28,7.75,Q,missing,3,female,0,0,14311,1
28,14.5,S,missing,3,male,1,1,A/5. 851,0
47,38.5,S,E63,1,male,0,0,111320,0
28,6.95,Q,missing,3,male,0,0,368323,0
35,135.6333,S,C99,1,female,0,0,PC 17760,1
10,27.9,S,missing,3,male,3,2,347088,0
28,7.05,S,missing,3,male,0,0,SOTON/O.Q. 3101305,0
16,10.5,S,missing,2,male,0,0,S.O./P.P. 3,0
21,7.775,S,missing,3,male,0,0,312992,0
27,76.7292,C,D49,1,male,0,0,PC 17572,1
36,40.125,C,A10,1,male,0,0,13049,0
32,56.4958,S,missing,3,male,0,0,1601,1
36,10.5,S,missing,2,male,0,0,C.A. 17248,0
34,21,S,missing,2,male,1,0,31027,0
5,31.3875,S,missing,3,male,4,2,347077,0
30,8.6625,S,missing,3,female,0,0,315084,0
34,13,S,missing,2,male,0,0,12233,0
17,7.125,S,missing,3,male,0,0,STON/O 2. 3101274,0
14.5,69.55,S,missing,3,male,8,2,CA. 2343,0
5,19.2583,C,missing,3,female,2,1,2666,1
40.5,7.75,Q,missing,3,male,0,0,367232,0
38,7.2292,C,missing,3,female,0,0,2688,1
22,7.2292,C,missing,3,male,0,0,2669,0
48,39.6,C,A16,1,female,1,0,11755,1
21,7.8542,S,missing,3,male,0,0,350029,0
36,13,S,missing,2,male,0,0,242963,0
17,8.05,S,missing,3,male,2,0,A/4 48873,0
28,7.8792,S,missing,3,male,0,0,1222,0
64,263,S,C23 C25 C27,1,male,1,4,19950,0
19,8.05,S,missing,3,male,0,0,A/5. 10482,1
26,136.7792,C,C89,1,female,1,0,13508,1
24,15.85,S,missing,3,female,1,0,STON/O2. 3101279,1
34,13,S,missing,2,male,0,0,250647,0
26,7.8542,S,missing,3,male,1,0,350025,0
58,29.7,C,B37,1,male,0,0,11771,0
27,30.5,S,missing,1,male,0,0,113804,1
50,10.5,S,missing,2,female,0,0,W./C. 14258,1
28,14.4583,C,missing,3,male,1,0,2689,0
50,211.5,C,C80,1,female,1,1,113503,1
42,7.55,S,missing,3,male,0,0,C.A. 5547,0
31,8.6833,S,missing,3,female,0,0,349244,1
24,13,S,missing,2,female,0,0,248747,0
28,146.5208,C,B78,1,female,1,0,PC 17569,1
28,7.775,S,missing,3,male,0,0,312991,1
0.1667,20.575,S,missing,3,female,1,2,C.A. 2315,1
28,8.05,S,missing,3,male,0,0,376563,0
28,7.7333,Q,missing,3,female,0,0,335432,1
20,36.75,S,missing,2,female,0,0,C.A. 33112,1
32,15.5,Q,missing,3,female,1,1,364849,0
